id,Sistema,Assunto,Mnemônico,Funcionalidade,Versão,Vínculo,Órgão,UPAG,UORG,Data,Nota,comments
51,SIGEPE,Frequência,PAINEDEGESTO,Painel de Gestão,0,,33200,,,2025-08-12 14:53:14.92,5,Excelente
52,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,57202,,,2025-08-12 00:24:10.054,4,
53,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,25000,,,2025-08-11 17:19:22.894,4,
54,SIGEPE,Consignação,ASSUNPAGINASSUN,Listagem de Tarefas,0,SER,45205,,,2025-08-11 15:03:59.855,2,"Navegabilidade ruim. Não consigo consultar tarefas pendentes, preciso usar o número do termo para consultar. A notificação diz ""Atenção: é necessário suspender o desconto em até 1 dia útil e informar justificativa da decisão."" e aí tenho que escrever uma justificativa? Essa já é a justificativa."
55,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,26252,,,2025-08-09 15:52:44.533,4,Ciente.
56,SIGEPE,Requerimento,ASSUNPAGINASSUN,Listagem de Tarefas,0,SER,40116,,,2025-08-09 02:00:20.213,5,Acesso e funcionalidades objetivos e relevantes. Obrigada
57,SIGEPE,Benefício,DETALAUXLITRANS,Detalhar Auxílio Transporte,0,,26403,7.0,,2025-08-08 20:40:57.233,2,"Não conseguimos resolver situação de servidor ""em cancelamento"" mesmo após o lançamento das ocorrências."
58,SIGEPE,Avaliação de Desempenho,RESAVACONRESAVA,Consultar Meu Resultado da Avaliação de Desempenho,0,SER,30202,,,2025-08-08 13:21:09.213,5,
59,SIGEPE,Gestão de Vínculo,ASSUNPAGINASSUN,Listagem de Tarefas,0,,57202,9458.0,12643.0,2025-08-08 10:14:26.094,1,é de difícil navegação. 
60,SIGEPE,Frequência,VISFICDEFRE,Visualizar Ficha de Frequência,0,,40116,26.0,,2025-08-08 09:05:35.892,4,
61,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,33100,,,2025-08-07 20:17:49.378,4,
62,SIGEPE,Gratificação,DASHBOARD,Dashboard,0,,70000,,,2025-08-07 08:34:19.139,5,
63,SIGEPE,Requerimento,CONSULTPROCESS,Analisar Requerimento,81,SER,42201,1335.0,,2025-08-06 14:38:23.254,5,"excelente, quando o ingresso funciona!"
64,SIGEPE,Requerimento,ASSUNPAGINASSUN,Listagem de Tarefas,0,SER,57202,,,2025-08-05 17:44:50.395,4,funciona bem
65,SIGEPE,Requerimento,SERVIPACOTVISAO,Solicitar,0,SER,45208,,,2025-08-05 17:08:22.09,1,Nao é possivel dar prosseguimento à ação
66,SIGEPE,Benefício,INCLUAUXLITRANS,Incluir Auxílio Transporte,0,,13300,947.0,,2025-08-05 09:29:15.675,1,porque não estou conseguindo lança o auxilio transporte para esta servidora.
67,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,26255,203.0,,2025-08-05 07:54:36.976,1,Não consigo desde o dia 04/08/25 acessar o Assentamento Funcional para colocar documentos. quando clica na aba ele volta para a página de login.
68,SIGEPE,Gestão de Vínculo,ESTAGPROGRRECES,Estagiário - Programar Recesso,0,SER,26273,,,2025-08-04 23:16:22.123,3,Demorei bastante para encontrar local da homologação. E senti necessidade de mais dicas para efetuar a homologação. 
69,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,PEN,26249,,,2025-08-04 18:16:14.412,5,"Boa tarde
Gostaria de saber se existe alguma pendencia cadastral minha.
Não recebi os meus proventos referentes aos meses de Junho e julho/25
Fico no aguardo 
Muito obrigado"
70,SIGEPE,Frequência,PAINEDEGESTO,Painel de Gestão,0,,21300,,,2025-08-04 15:08:00.949,5,
71,SIGEPE,Benefício,MEMRIDECLCUL,Memória de Cálculo,0,,21000,497.0,,2025-08-04 11:14:25.227,1,"Sistema muito lento, horrível"
72,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,26244,,,2025-08-04 10:16:52.788,1,"Muito complicado esse sistema sigep, sigac sougov govbr ;por que não fazer uma coisa só????? Isso permite com que muitas pessoas sejam enganadas ou tenham que pagar despachantes para fazer algo que deveria ser simples."
73,SIGEPE,Requerimento,SERVIPACOTPROCE,Corrigir Requerimento,198,SER,26245,,,2025-08-01 12:29:55.177,1,"Impossível inserir/alterar documentos
"
74,SIGEPE,Requerimento,SERVIPACOTVISAO,Solicitar,0,SER,25000,,,2025-08-01 09:27:10.968,2,Após preencher o Requerimento não aparece botão incluir e não consigo anexar os comprovantes de pagamento de planos de saúde
75,SIGEPE,Requerimento,SERVIPACOTPROCE,Dar Ciência,197,SER,57202,,,2025-07-31 21:18:35.356,3,Ciente do deferimento.
76,SIGEPE,Requerimento,SERVIPACOTPROCE,Corrigir Requerimento,196,SER,40116,,,2025-07-30 13:35:50.918,1,Não consigo anexar os comprovantes de pagamento do plano.
77,SIGEPE,Requerimento,ASSUNPAGINASSUN,Listagem de Tarefas,0,SER,33200,,,2025-07-30 10:27:39.513,5,
78,SIGEPE,Avaliação de Desempenho,RESAVACONRESAVA,Consultar Meu Resultado da Avaliação de Desempenho,0,,30202,1714.0,2311.0,2025-07-29 18:19:37.373,5,
79,SIGEPE,Requerimento,SERVIPACOTPROCE,Dar Ciência,195,SER,70000,,,2025-07-29 16:55:16.052,4,
80,SIGEPE,Requerimento,CONSULTPROCESS,Analisar Requerimento,81,SER,40108,2491.0,,2025-07-29 16:09:27.586,4,OK
81,SIGEPE,Gratificação,ACESSONEGADO,Acesso negado,0,,70000,510.0,,2025-07-29 12:59:50.537,4,
82,SIGEPE,Requerimento,ASSUNPAGINASSUN,Listagem de Tarefas,0,SER,26242,,,2025-07-29 09:08:13.302,5,
83,SIGEPE,Requerimento,ASSUNPAGINASSUN,Listagem de Tarefas,0,SER,40116,,,2025-07-28 12:49:19.371,1,PÉSSIMO!
84,SIGEPE,Assentamento Funcional Digital,PAGESPESQUASSEN,Pesquisar Assentamento Funcional Digital,0,SER,33200,,,2025-07-24 10:47:30.592,4,
85,SIGEPE,Requerimento,ASSUNPAGINASSUN,Listagem de Tarefas,0,SER,36201,,,2025-07-23 09:43:10.092,2,Navegação nada clara
86,SIGEPE,Requerimento,ASSUNPAGINASSUN,Listagem de Tarefas,0,SER,40116,,,2025-07-23 09:40:15.505,1,Não consigo abrir  a tarefa. Só dá mensagem de erro.
87,SIGEPE,Requerimento,ASSUNPAGINASSUN,Listagem de Tarefas,0,SER,40116,,,2025-07-23 00:24:35.854,4,Poderia haver espaço para escrever um comentário adicional.
88,SIGEPE,Frequência,VISUALICONTAS,Visualizar Contas,0,,40501,353.0,,2025-07-22 16:52:18.584,1,Esta faltando o banco de horas 
89,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,57202,,,2025-07-21 14:06:28.017,5,
90,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,26407,413.0,430.0,2025-07-21 07:52:08.705,1,erro
91,SIGEPE,Requerimento,ASSUNPAGINASSUN,Listagem de Tarefas,0,SER,26242,,,2025-07-18 17:50:20.303,1,Demora muito para Analise!
92,SIGEPE,Assentamento Funcional Digital,PAGESPESQUASSEN,Pesquisar Assentamento Funcional Digital,0,SER,25000,7578.0,,2025-07-18 16:39:43.332,5,
93,SIGEPE,Afastamento,CONCESSADICION,Incluir Concessão,0,SER,25000,7592.0,,2025-07-18 14:40:29.018,3,tab e enter não funcionam a pagina sobe quando precisamos que não se mova
94,SIGEPE,Assentamento Funcional Digital,PAGESPESQUASSEN,Pesquisar Assentamento Funcional Digital,0,SER,17600,2043.0,,2025-07-18 13:59:11.494,1,Não está abrindo o AFD 
95,SIGEPE,Requerimento,CONSULTPROCESS,Detalhar Requerimento,80,SER,26292,460.0,,2025-07-18 11:21:42.55,4,
96,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,57202,,,2025-07-18 10:53:55.286,5,
97,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,57202,,,2025-07-18 10:51:05.668,5,ok
98,SIGEPE,Requerimento,SERVIPACOTVISAO,Solicitar,0,PEN,40806,,,2025-07-17 21:40:09.624,3,Muito bug na página 
99,SIGEPE,Estrutura Organizacional,UORUORLSTHIE,Pesquisar Hierarquia de UORG,0,SER,26240,13.0,,2025-07-17 17:44:35.548,5,
100,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,13300,,,2025-07-17 16:33:15.301,5,"eu avalio com o maior conceito possível, excelente."
101,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,PEN,40806,,,2025-07-15 16:13:07.958,5,
102,SIGEPE,Requerimento,CONSULTPROCESS,Analisar Requerimento,79,SER,26423,2.0,,2025-07-15 14:03:22.119,3,kkjjhhnm
103,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,30202,1714.0,2075.0,2025-07-15 10:14:08.098,4,
104,SIGEPE,Requerimento,SERVIPACOTVISAO,Solicitar,0,SER,57202,,,2025-07-15 08:27:28.408,3,"Estou tentando pelo celular, mas está difícil."
105,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,57202,,,2025-07-15 07:37:35.023,5,eu quero acessa o balcao
106,SIGEPE,Requerimento,SERVIPACOTVISAO,Solicitar,0,,17600,2264.0,2303.0,2025-07-14 17:42:19.083,2,tem que adivinhar os passos
107,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,26434,,,2025-07-14 10:33:07.048,1,Péssimo. Não dá para ler todo o título... Mensagens totalmente irrelevantes... Um verdadeiro serviço público de SPAM.
108,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,26245,,,2025-07-14 10:27:53.456,1,Não consigo achar meu.contra chequw
109,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,26236,,,2025-07-14 09:48:36.432,4,
110,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,16000,49.0,,2025-07-14 09:32:08.839,5,Excelente para consultas de informações
111,SIGEPE,Requerimento,ASSUNPAGINASSUN,Listagem de Tarefas,0,SER,26262,,,2025-07-11 17:03:14.111,3,"Foi um pouco difícil chegar na lista de tarefas.
Na entrada da página consta que não havia tarefas a fazer.
Não sei como cheguei a essa funcionalidade.
Talvez o desenho geral do sigepe dê muitos caminhos por onde nos perdemos."
112,SIGEPE,Afastamento,PESQUISFILTRAR,Consultar Concessão,41,SER,26403,7.0,,2025-07-11 14:59:11.893,4,
113,SIGEPE,Avaliação de Desempenho,AVDEREAVDESE,Realizar Minha Avaliação de Desempenho,0,SER,30202,1714.0,2447.0,2025-07-11 14:56:36.765,5,
114,SIGEPE,Avaliação de Desempenho,AVDEREAVDESE,Realizar Minha Avaliação de Desempenho,0,SER,30202,1714.0,1719.0,2025-07-11 14:50:44.357,5,
115,SIGEPE,Gerenciador Integrador eSocial,CONSULTFILTRAR,Consultar Eventos Totalizadores,1,SER,26416,,,2025-07-11 14:03:29.626,2,Não carrega. Fica dando erro.
116,SIGEPE,Requerimento,CONSULTPROCESS,Analisar Requerimento,79,SER,39252,690.0,,2025-07-11 11:56:03.601,4,
117,SIGEPE,Avaliação de Desempenho,AVDEREAVDESE,Realizar Minha Avaliação de Desempenho,0,,30202,1714.0,,2025-07-11 10:43:10.595,5,
118,SIGEPE,Avaliação de Desempenho,AVDEREAVDESE,Realizar Minha Avaliação de Desempenho,0,SER,30202,1714.0,1719.0,2025-07-11 10:14:17.179,5,
119,SIGEPE,Avaliação de Desempenho,AVDEREAVDESE,Realizar Minha Avaliação de Desempenho,0,SER,30202,1714.0,2447.0,2025-07-11 10:14:14.351,5,
120,SIGEPE,Avaliação de Desempenho,AVDEREAVDESE,Realizar Minha Avaliação de Desempenho,0,SER,30202,,,2025-07-11 10:14:08.539,5,
121,SIGEPE,Avaliação de Desempenho,AVDEREAVDESE,Realizar Minha Avaliação de Desempenho,0,SER,30202,1714.0,1719.0,2025-07-11 10:13:31.374,4,Bom
122,SIGEPE,Requerimento,SERVIPACOTPROCE,Detalhar Requerimento,194,SER,26241,,,2025-07-10 11:03:32.134,1,Recebi um email sobre erro no anexo. Porém consigo visualiza-lo. A mensagem orienta que eu apague o anexo e insira novamente. Porém não sei como fazer. Essa funcionalidade não é intuitiva.
123,SIGEPE,Publicação,ASSUNPAGINASSUN,Listagem de Tarefas,0,SER,26419,,,2025-07-09 15:15:00.257,4,
124,SIGEPE,Requerimento,ASSUNPAGINASSUN,Listagem de Tarefas,0,,57202,9458.0,12643.0,2025-07-08 17:52:12.991,1,"Formulário ridídulo. Se eu informo NÃO, o sistema deveria fechar as demais opções referentes àquele item. "
125,SIGEPE,Requerimento,ASSUNPAGINASSUN,Listagem de Tarefas,0,SER,26419,,,2025-07-08 14:45:54.987,1,grande dificuldade de localizar requerimentos após não haver separação por unidades
126,SIGEPE,Requerimento,SERVIPACOTVISAO,Solicitar,0,,30802,1080.0,4397.0,2025-07-08 11:09:19.99,1,"não aparece onde inserir o documento COMPROVANTE DE DESPESA DO PLANO DE SAÚDE!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
"
127,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,26232,,,2025-07-08 08:50:38.087,4,muita boa....
128,SIGEPE,Assentamento Funcional Digital,PAGESPESQUASSEN,Pesquisar Assentamento Funcional Digital,0,SER,26235,10.0,,2025-07-07 13:40:27.475,4,
129,SIGEPE,Requerimento,SERVIPACOTVISAO,Solicitar,0,,17600,767.0,,2025-07-07 12:06:02.547,4,
130,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,42201,,,2025-07-06 02:33:22.413,4,eficient
131,SIGEPE,Afastamento,CONCESSADICION,Incluir Concessão,0,SER,59000,,,2025-07-04 10:21:56.853,3,Falta permitir colagem de dados (como número do processo) considerando a quantidade de informações que temos que prestar. 
132,SIGEPE,Gestão de Vínculo,ESTAGCONSURECES,Consultar Recesso,14,SER,32396,17.0,,2025-07-03 16:09:09.734,5,
133,SIGEPE,Requerimento,SERVIPACOTVISAO,Solicitar,0,SER,17600,,,2025-07-02 15:34:52.46,3,"Muito lento, as telas demoram aparecer."
134,SIGEPE,Gratificação,ATIVIDAGECC,Atividade GECC,0,,26271,,,2025-07-02 10:10:11.663,5,
135,SIGEPE,Requerimento,SERVIPACOTVISAO,Solicitar,0,SER,57202,,,2025-07-01 16:04:17.776,1,"Realizado anteriormente e não ficou registrado, obtive mensagem de sucesso inclusive"
136,SIGEPE,Gestão de Vínculo,ASSUNPAGINASSUN,Listagem de Tarefas,0,SER,26419,57.0,29.0,2025-06-30 19:06:39.084,1,Seguidamente os comandos não funcionam te levando para tela de erro.
137,SIGEPE,Requerimento,CONSULTPROCESS,Detalhar Requerimento,78,SER,57202,11275.0,,2025-06-30 15:31:06.517,4,
138,SIGEPE,Avaliação de Desempenho,METINDACEMETIND,Aceitar Minhas Metas Individuais,0,SER,30202,1714.0,,2025-06-30 14:43:56.441,5,
139,SIGEPE,Requerimento,ASSUNPAGINASSUN,Listagem de Tarefas,0,SER,57202,,,2025-06-30 13:47:56.385,5,
140,SIGEPE,Requerimento,ASSUNPAGINASSUN,Listagem de Tarefas,0,SER,33100,149.0,349.0,2025-06-30 13:34:35.814,5,
141,SIGEPE,Requerimento,SERVIPACOTPROCE,Detalhar Requerimento,194,SER,57202,,,2025-06-30 08:46:03.157,1,"SISTEMA MUITO RUIM, COMUNICAÇÃO COM O SERVIDOR INVIAVEL. ANEXO O DOCUMENTO E ELA FALA QUE NAO VISUALIZA, PORÉM EU CONSIGO VER PERFEITAMENTE"
142,SIGEPE,Requerimento,SERVIPACOTVISAO,Solicitar,0,SER,22202,,,2025-06-27 16:31:18.092,1,Muito confuso....
143,SIGEPE,Publicação,PAGESPUBLICADAS,Cadastrar Ato para Publicação,0,SER,49200,,,2025-06-27 13:05:42.146,2,"Na questão da escolha do tema, falta mtas opcões que encaixe dos servicos solicitado na Portaria em questão."
144,SIGEPE,Requerimento,SERVIPACOTVISAO,Solicitar,0,SER,57202,,,2025-06-27 12:49:20.676,1,"demorado, pouco intuivo, demanda tempo, há o que facilitar"
145,SIGEPE,Requerimento,ASSUNPAGINASSUN,Listagem de Tarefas,0,SER,26269,,,2025-06-27 08:53:47.724,5,Muito ágil e sem burocracia. 
146,SIGEPE,Requerimento,ASSUNPAGINASSUN,Listagem de Tarefas,0,SER,57202,,,2025-06-26 21:14:29.17,5,
147,SIGEPE,Requerimento,SERVIPACOTPROCE,Dar Ciência,193,SER,59000,,,2025-06-26 19:07:54.108,4,
148,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,57202,,,2025-06-26 16:30:28.015,4,
149,SIGEPE,Requerimento,SERVIPACOTPROCE,Consultar,192,SER,57202,,,2025-06-26 15:02:50.879,5,
150,SIGEPE,Pensão Alimentícia,CONSULTPENSAOA,Início,0,SER,30202,1714.0,,2025-06-26 10:48:57.005,4,
151,SIGEPE,Assentamento Funcional Digital,PAGESPESQUASSEN,Pesquisar Assentamento Funcional Digital,0,SER,17000,,,2025-06-26 07:57:06.144,4,
152,SIGEPE,Requerimento,ASSUNPAGINASSUN,Listagem de Tarefas,0,SER,40116,,,2025-06-25 16:34:44.486,5,
153,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,40806,,,2025-06-25 15:31:21.106,4,
154,SIGEPE,Requerimento,ASSUNPAGINASSUN,Listagem de Tarefas,0,SER,26408,222.0,457.0,2025-06-25 10:01:41.348,1,Nao está funcionando a aba requerimentos
155,SIGEPE,Requerimento,SERVIPACOTVISAO,Solicitar,0,SER,26257,,,2025-06-24 16:01:33.339,3,"Não é intuitivo e sem consultar manual sempre me enrolo!
Além disso entendo ser desnecessário esta comprovação pois até o IRPF já vem com esta informação de plano de saúde pré-preenchida. Cruzamento de informações seria muito menos burocrático! "
156,SIGEPE,Requerimento,SERVIPACOTPROCE,Consultar,192,SER,57202,,,2025-06-24 13:19:19.638,2,"Requerimento de Comprovante de Quitação de Plano de Saúde foi concluído no Meu INSS e o resultado não migrou para o Sigepe.
Requerimento do Sigepe confuso para preencher.
Ainda mais difícil pelo celular."
157,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,57202,,,2025-06-23 14:25:27.773,4,
158,SIGEPE,Requerimento,SERVIPACOTVISAO,Solicitar,0,SER,57202,,,2025-06-23 11:47:56.81,5,
159,SIGEPE,Requerimento,SERVIPACOTVISAO,Solicitar,0,SER,57202,,,2025-06-20 08:21:19.498,3,"Quando term,oniamos de digitar a Declaração de Não Acumulação não tem como salvar o documento"
160,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,26241,,,2025-06-17 21:30:22.052,2,Mil voltas para dar ciência. Continua faltando muito user friendly no sistema. 
